agg_code,instance,longitude,latitude,arrondissement,rue_1,rue_2,numeroVoie,direction,periode,volume,vitesseMoyenne
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2026-01-01 00:00:00-05:00,1935,15.415201654601862
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2026-02-01 00:00:00-05:00,2944,15.690217391304348
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2026-03-01 00:00:00-05:00,2948,16.09158751696065
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2026-04-01 00:00:00-04:00,6634,16.404341926729987
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2026-05-01 00:00:00-04:00,25685,16.83500097333074
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2025-06-01 00:00:00-04:00,14049,26.638479607089472
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2025-07-01 00:00:00-04:00,15188,31.58182416858742
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2025-08-01 00:00:00-04:00,14848,33.14715786637931
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2025-09-01 00:00:00-04:00,20803,34.1704081142143
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2025-10-01 00:00:00-04:00,15900,20.37006289308176
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2025-11-01 00:00:00-04:00,6900,20.94710144927536
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2025-12-01 00:00:00-05:00,1972,19.17292089249493
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2026-01-01 00:00:00-05:00,1437,17.55045233124565
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2026-02-01 00:00:00-05:00,2079,17.85810485810486
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2026-03-01 00:00:00-05:00,1959,17.718734047983666
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2026-04-01 00:00:00-04:00,3527,19.04763254890842
m,det-00421-01,-73.57081,45.499119,Ville-Marie,Peel,René-Lévesque,2,Sud,2026-05-01 00:00:00-04:00,11500,18.75713043478261
